id;start_date;end_date;language
1;2021-03-08T12:52:46;2021-03-08T10:43:01;SPANISH
2;2021-03-07T17:42:57;2021-03-08T12:47:22;SPANISH
3;2021-03-08T08:38:16;2021-03-07T19:12:25;FRENCH
4;2021-03-07T23:55:47;2021-03-08T11:27:13;FRENCH
5;2021-03-08T09:26:05;2021-03-08T14:13:04;FRENCH
6;2021-03-08T03:18:26;2021-03-08T15:26:40;FRENCH
7;2021-03-08T05:03:46;2021-03-07T22:54:37;FRENCH
8;2021-03-08T03:59:59;2021-03-08T14:16:07;SPANISH
9;2021-03-08T02:41:08;2021-03-07T23:22:31;SPANISH
10;2021-03-08T10:53:12;2021-03-07T21:27:42;SPANISH
